Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,ANL_CODE_3,ANALYTE_3,VALUE_3,UNITS_3,FRACTION_3,METHOD_3,RESULT_REMARK_3,ANL_CODE_4,ANALYTE_4,VALUE_4,UNITS_4,FRACTION_4,METHOD_4,RESULT_REMARK_4,ANL_CODE_5,ANALYTE_5,VALUE_5,UNITS_5,FRACTION_5,METHOD_5,RESULT_REMARK_5,
"11","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","20.1000","Twenty Meter","surface water","INSITU_MEAS","routine field sample","23GE00S04","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","94","mg/l","Total/Bulk","LG500","","Cond","Conductivity","275.9","umho/cm","Total/Bulk","LG500","","pH","pH","8.05","none","Total/Bulk","LG500","","Temp","Temperature","3.13","C","Not applicable","NA","","Turb","Turbidity","3.3","NTU","Total/Bulk","LG500","",
"12","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","30.1000","Thirty Meter","surface water","INSITU_MEAS","routine field sample","23GE00S05","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","94.2","mg/l","Total/Bulk","LG500","","Cond","Conductivity","276.1","umho/cm","Total/Bulk","LG500","","pH","pH","8.02","none","Total/Bulk","LG500","","Temp","Temperature","3.13","C","Not applicable","NA","","Turb","Turbidity","3.49","NTU","Total/Bulk","LG500","",
"13","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","40.0000","Forty Meter","surface water","INSITU_MEAS","routine field sample","23GE00S06","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","93.8","mg/l","Total/Bulk","LG500","","Cond","Conductivity","277.4","umho/cm","Total/Bulk","LG500","","pH","pH","8.04","none","Total/Bulk","LG500","","Temp","Temperature","3.14","C","Not applicable","NA","","Turb","Turbidity","3.36","NTU","Total/Bulk","LG500","",
"14","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","52.9000","Bottom Minus 10","surface water","INSITU_MEAS","routine field sample","23GE00S10","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","94.1","mg/l","Total/Bulk","LG500","","Cond","Conductivity","276.4","umho/cm","Total/Bulk","LG500","","pH","pH","8","none","Total/Bulk","LG500","","Temp","Temperature","3.14","C","Not applicable","NA","","Turb","Turbidity","3.28","NTU","Total/Bulk","LG500","",
"15","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","61.8000","Bottom Minus","surface water","INSITU_MEAS","routine field sample","23GE00S11","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","93.7","mg/l","Total/Bulk","LG500","","Cond","Conductivity","276","umho/cm","Total/Bulk","LG500","","pH","pH","8.02","none","Total/Bulk","LG500","","Temp","Temperature","3.14","C","Not applicable","NA","","Turb","Turbidity","3.39","NTU","Total/Bulk","LG500","",
"16","2023","April    ","Spring","Erie","ER2311","E063A23","ER63","43.6000","42.413000","-79.797000","2023/04/16 13:10","GMT","2.0000","Surface","surface water","INSITU_MEAS","routine field sample","23GE00S21","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.7","mg/l","Total/Bulk","LG500","","Cond","Conductivity","273.6","umho/cm","Total/Bulk","LG500","","pH","pH","8.07","none","Total/Bulk","LG500","","Temp","Temperature","3.49","C","Not applicable","NA","","Turb","Turbidity","1.06","NTU","Total/Bulk","LG500","",
"17","2023","April    ","Spring","Erie","ER2311","E063A23","ER63","43.6000","42.413000","-79.797000","2023/04/16 13:10","GMT","22.1000","Middle Depth","surface water","INSITU_MEAS","routine field sample","23GE00S23","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.6","mg/l","Total/Bulk","LG500","","Cond","Conductivity","274.9","umho/cm","Total/Bulk","LG500","","pH","pH","8.11","none","Total/Bulk","LG500","","Temp","Temperature","3.40","C","Not applicable","NA","","Turb","Turbidity","1.06","NTU","Total/Bulk","LG500","",
"18","2023","April    ","Spring","Erie","ER2311","E063A23","ER63","43.6000","42.413000","-79.797000","2023/04/16 13:10","GMT","5.0000","Five Meter","surface water","INSITU_MEAS","routine field sample","23GE00S2A","Temp","Temperature","3.42","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"19","2023","April    ","Spring","Erie","ER2311","E063A23","ER63","43.6000","42.413000","-79.797000","2023/04/16 13:10","GMT","10.0000","Ten Meter","surface water","INSITU_MEAS","routine field sample","23GE00S2B","Temp","Temperature","3.40","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"20","2023","April    ","Spring","Erie","ER2311","E063A23","ER63","43.6000","42.413000","-79.797000","2023/04/16 13:10","GMT","34.1000","Bottom Minus 10","surface water","INSITU_MEAS","routine field sample","23GE00S30","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.9","mg/l","Total/Bulk","LG500","","Cond","Conductivity","275.1","umho/cm","Total/Bulk","LG500","","pH","pH","8.1","none","Total/Bulk","LG500","","Temp","Temperature","3.40","C","Not applicable","NA","","Turb","Turbidity","1.13","NTU","Total/Bulk","LG500","",
"21","2023","April    ","Spring","Erie","ER2311","E063A23","ER63","43.6000","42.413000","-79.797000","2023/04/16 13:10","GMT","43.0000","Bottom Minus","surface water","INSITU_MEAS","routine field sample","23GE00S31","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","93","mg/l","Total/Bulk","LG500","","Cond","Conductivity","276.1","umho/cm","Total/Bulk","LG500","","pH","pH","8.13","none","Total/Bulk","LG500","","Temp","Temperature","3.40","C","Not applicable","NA","","Turb","Turbidity","1.21","NTU","Total/Bulk","LG500","",
"22","2023","April    ","Spring","Erie","ER2311","E009A23","ER09","49.4000","42.538050","-79.617233","2023/04/16 15:06","GMT","2.0000","Surface","surface water","INSITU_MEAS","routine field sample","23GE00S41","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","91","mg/l","Total/Bulk","LG500","","Cond","Conductivity","277.2","umho/cm","Total/Bulk","LG500","","pH","pH","7.68","none","Total/Bulk","LG500","","Temp","Temperature","3.38","C","Not applicable","NA","","Turb","Turbidity","1.66","NTU","Total/Bulk","LG500","",
"23","2023","April    ","Spring","Erie","ER2311","E009A23","ER09","49.4000","42.538050","-79.617233","2023/04/16 15:06","GMT","24.6000","Middle Depth","surface water","INSITU_MEAS","routine field sample","23GE00S43","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.4","mg/l","Total/Bulk","LG500","","Cond","Conductivity","276.7","umho/cm","Total/Bulk","LG500","","pH","pH","7.93","none","Total/Bulk","LG500","","Temp","Temperature","3.29","C","Not applicable","NA","","Turb","Turbidity","1.89","NTU","Total/Bulk","LG500","",
"24","2023","April    ","Spring","Erie","ER2311","E009A23","ER09","49.4000","42.538050","-79.617233","2023/04/16 15:06","GMT","5.0000","Five Meter","surface water","INSITU_MEAS","routine field sample","23GE00S4A","Temp","Temperature","3.34","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"25","2023","April    ","Spring","Erie","ER2311","E009A23","ER09","49.4000","42.538050","-79.617233","2023/04/16 15:06","GMT","10.1000","Ten Meter","surface water","INSITU_MEAS","routine field sample","23GE00S4B","Temp","Temperature","3.34","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"26","2023","April    ","Spring","Erie","ER2311","E009A23","ER09","49.4000","42.538050","-79.617233","2023/04/16 15:06","GMT","20.1000","Twenty Meter","surface water","INSITU_MEAS","routine field sample","23GE00S4C","Temp","Temperature","3.35","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"27","2023","April    ","Spring","Erie","ER2311","E009A23","ER09","49.4000","42.538050","-79.617233","2023/04/16 15:06","GMT","39.3000","Bottom Minus 10","surface water","INSITU_MEAS","routine field sample","23GE00S50","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.5","mg/l","Total/Bulk","LG500","","Cond","Conductivity","277.4","umho/cm","Total/Bulk","LG500","","pH","pH","8.02","none","Total/Bulk","LG500","","Temp","Temperature","3.30","C","Not applicable","NA","","Turb","Turbidity","1.67","NTU","Total/Bulk","LG500","",
"28","2023","April    ","Spring","Erie","ER2311","E009A23","ER09","49.4000","42.538050","-79.617233","2023/04/16 15:06","GMT","48.2000","Bottom Minus","surface water","INSITU_MEAS","routine field sample","23GE00S51","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.9","mg/l","Total/Bulk","LG500","","Cond","Conductivity","277.7","umho/cm","Total/Bulk","LG500","","pH","pH","8.07","none","Total/Bulk","LG500","","Temp","Temperature","3.30","C","Not applicable","NA","","Turb","Turbidity","1.8","NTU","Total/Bulk","LG500","",
"29","2023","April    ","Spring","Erie","ER2311","E010A23","ER10","32.5000","42.679883","-79.691217","2023/04/16 16:21","GMT","2.0000","Surface","surface water","INSITU_MEAS","routine field sample","23GE00S61","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","91.5","mg/l","Total/Bulk","LG500","","Cond","Conductivity","272.8","umho/cm","Total/Bulk","LG500","","pH","pH","8.18","none","Total/Bulk","LG500","","Temp","Temperature","5.51","C","Not applicable","NA","","Turb","Turbidity","2.14","NTU","Total/Bulk","LG500","",
"30","2023","April    ","Spring","Erie","ER2311","E010A23","ER10","32.5000","42.679883","-79.691217","2023/04/16 16:21","GMT","16.7000","Middle Depth","surface water","INSITU_MEAS","routine field sample","23GE00S63","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.4","mg/l","Total/Bulk","LG500","","Cond","Conductivity","277.6","umho/cm","Total/Bulk","LG500","","pH","pH","8.11","none","Total/Bulk","LG500","","Temp","Temperature","3.98","C","Not applicable","NA","","Turb","Turbidity","2.7","NTU","Total/Bulk","LG500","",
"31","2023","April    ","Spring","Erie","ER2311","E010A23","ER10","32.5000","42.679883","-79.691217","2023/04/16 16:21","GMT","5.1000","Five Meter","surface water","INSITU_MEAS","routine field sample","23GE00S6A","Temp","Temperature","4.81","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"32","2023","April    ","Spring","Erie","ER2311","E010A23","ER10","32.5000","42.679883","-79.691217","2023/04/16 16:21","GMT","10.0000","Ten Meter","surface water","INSITU_MEAS","routine field sample","23GE00S6B","Temp","Temperature","4.45","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"33","2023","April    ","Spring","Erie","ER2311","E010A23","ER10","32.5000","42.679883","-79.691217","2023/04/16 16:21","GMT","20.0000","Twenty Meter","surface water","INSITU_MEAS","routine field sample","23GE00S6C","Temp","Temperature","3.91","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"34","2023","April    ","Spring","Erie","ER2311","E010A23","ER10","32.5000","42.679883","-79.691217","2023/04/16 16:21","GMT","23.4000","Bottom Minus 10","surface water","INSITU_MEAS","routine field sample","23GE00S70","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.7","mg/l","Total/Bulk","LG500","","Cond","Conductivity","278","umho/cm","Total/Bulk","LG500","","pH","pH","8.12","none","Total/Bulk","LG500","","Temp","Temperature","3.87","C","Not applicable","NA","","Turb","Turbidity","2.68","NTU","Total/Bulk","LG500","",
"35","2023","April    ","Spring","Erie","ER2311","E010A23","ER10","32.5000","42.679883","-79.691217","2023/04/16 16:21","GMT","32.3000","Bottom Minus","surface water","INSITU_MEAS","routine field sample","23GE00S71","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","93.1","mg/l","Total/Bulk","LG500","","Cond","Conductivity","279.2","umho/cm","Total/Bulk","LG500","","pH","pH","8.12","none","Total/Bulk","LG500","","Temp","Temperature","3.87","C","Not applicable","NA","","Turb","Turbidity","2.99","NTU","Total/Bulk","LG500","",
"36","2023","April    ","Spring","Erie","ER2311","E042A23","ER42","21.0000","41.965000","-82.040000","2023/04/15 09:48","GMT","1.9000","Surface","surface water","INSITU_MEAS","routine field sample","23GE00S81","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","86.6","mg/l","Total/Bulk","LG500","","Cond","Conductivity","266.6","umho/cm","Total/Bulk","LG500","","pH","pH","8.13","none","Total/Bulk","LG500","","Temp","Temperature","6.40","C","Not applicable","NA","","Turb","Turbidity","3.43","NTU","Total/Bulk","LG500","",
"37","2023","April    ","Spring","Erie","ER2311","E042A23","ER42","21.0000","41.965000","-82.040000","2023/04/15 09:48","GMT","11.4000","Middle Depth","surface water","INSITU_MEAS","routine field sample","23GE00S83","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","87.8","mg/l","Total/Bulk","LG500","","Cond","Conductivity","269.7","umho/cm","Total/Bulk","LG500","","pH","pH","8.08","none","Total/Bulk","LG500","","Temp","Temperature","4.74","C","Not applicable","NA","","Turb","Turbidity","2.85","NTU","Total/Bulk","LG500","",
"38","2023","April    ","Spring","Erie","ER2311","E042A23","ER42","21.0000","41.965000","-82.040000","2023/04/15 09:48","GMT","5.0000","Five Meter","surface water","INSITU_MEAS","routine field sample","23GE00S8A","Temp","Temperature","6.50","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"39","2023","April    ","Spring","Erie","ER2311","E042A23","ER42","21.0000","41.965000","-82.040000","2023/04/15 09:48","GMT","21.7000","Bottom Minus","surface water","INSITU_MEAS","routine field sample","23GE00S91","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","89.9","mg/l","Total/Bulk","LG500","","Cond","Conductivity","268.2","umho/cm","Total/Bulk","LG500","","pH","pH","8.07","none","Total/Bulk","LG500","","Temp","Temperature","4.58","C","Not applicable","NA","","Turb","Turbidity","2.91","NTU","Total/Bulk","LG500","",
"40","2023","April    ","Spring","Erie","ER2311","E037A23","ER37","23.1000","42.109950","-81.574467","2023/04/15 21:52","GMT","12.2000","Middle Depth","surface water","INSITU_MEAS","field duplicate","23GE01D63","Temp","Temperature","4.21","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"41","2023","April    ","Spring","Erie","ER2311","E038A23","ER38","20.8000","42.281317","-81.671933","2023/04/15 23:12","GMT","21.2000","Bottom Minus","surface water","Individual QC","field duplicate","23GE01D91","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","87","mg/l","Total/Bulk","LG500","","Cond","Conductivity","266.7","umho/cm","Total/Bulk","LG500","","pH","pH","8.11","none","Total/Bulk","LG500","","Turb","Turbidity","3.98","NTU","Total/Bulk","LG500","","","","","","","","",
"42","2023","April    ","Spring","Erie","ER2311","E043A23","ER43","20.9000","42.621500","-81.945217","2023/04/15 11:11","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE01I12","Temp","Temperature","4.31","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"43","2023","April    ","Spring","Erie","ER2311","E073A23","ER73","23.1000","41.977592","-81.756967","2023/04/15 12:54","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE01I32","Temp","Temperature","4.11","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"44","2023","April    ","Spring","Erie","ER2311","E036A23","ER36","22.2000","41.935067","-81.478217","2023/04/15 19:55","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE01I52","Temp","Temperature","4.25","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"45","2023","April    ","Spring","Erie","ER2311","E037A23","ER37","23.1000","42.109950","-81.574467","2023/04/15 21:52","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE01I72","Temp","Temperature","4.06","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"46","2023","April    ","Spring","Erie","ER2311","E038A23","ER38","20.8000","42.281317","-81.671933","2023/04/15 23:12","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE01I92","Temp","Temperature","4.26","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"47","2023","April    ","Spring","Erie","ER2311","E038A23","ER38","20.8000","42.281317","-81.671933","2023/04/15 23:12","GMT","","Synthetic Sample","surface water","Individual QC","field blank","23GE01R80","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","3.5","mg/l","Total/Bulk","LG500","Field Reagent Blank, failed","Cond","Conductivity","1.36","umho/cm","Total/Bulk","LG500","","pH","pH","7.11","none","Total/Bulk","LG500","","Turb","Turbidity","0.246","NTU","Total/Bulk","LG500","Field Reagent Blank, failed","","","","","","","",
"48","2023","April    ","Spring","Erie","ER2311","E043A23","ER43","20.9000","42.621500","-81.945217","2023/04/15 11:11","GMT","1.9000","Surface","surface water","INSITU_MEAS","routine field sample","23GE01S01","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","87.4","mg/l","Total/Bulk","LG500","","Cond","Conductivity","267.7","umho/cm","Total/Bulk","LG500","","pH","pH","7.64","none","Total/Bulk","LG500","","Temp","Temperature","4.98","C","Not applicable","NA","","Turb","Turbidity","3.56","NTU","Total/Bulk","LG500","",
"49","2023","April    ","Spring","Erie","ER2311","E043A23","ER43","20.9000","42.621500","-81.945217","2023/04/15 11:11","GMT","10.5000","Middle Depth","surface water","INSITU_MEAS","routine field sample","23GE01S03","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","88.2","mg/l","Total/Bulk","LG500","","Cond","Conductivity","267.8","umho/cm","Total/Bulk","LG500","","pH","pH","7.68","none","Total/Bulk","LG500","","Temp","Temperature","4.44","C","Not applicable","NA","","Turb","Turbidity","3.71","NTU","Total/Bulk","LG500","",
"50","2023","April    ","Spring","Erie","ER2311","E043A23","ER43","20.9000","42.621500","-81.945217","2023/04/15 11:11","GMT","5.1000","Five Meter","surface water","INSITU_MEAS","routine field sample","23GE01S0A","Temp","Temperature","4.80","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"51","2023","April    ","Spring","Erie","ER2311","E043A23","ER43","20.9000","42.621500","-81.945217","2023/04/15 11:11","GMT","20.9000","Bottom Minus","surface water","INSITU_MEAS","routine field sample","23GE01S11","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","90.67","mg/l","Total/Bulk","LG500","","Cond","Conductivity","268.3","umho/cm","Total/Bulk","LG500","","pH","pH","7.95","none","Total/Bulk","LG500","","Temp","Temperature","4.31","C","Not applicable","NA","","Turb","Turbidity","3.75","NTU","Total/Bulk","LG500","",
"52","2023","April    ","Spring","Erie","ER2311","E073A23","ER73","23.1000","41.977592","-81.756967","2023/04/15 12:54","GMT","2.0000","Surface","surface water","INSITU_MEAS","routine field sample","23GE01S21","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","88.5","mg/l","Total/Bulk","LG500","","Cond","Conductivity","271.4","umho/cm","Total/Bulk","LG500","","pH","pH","7.9","none","Total/Bulk","LG500","","Temp","Temperature","5.29","C","Not applicable","NA","","Turb","Turbidity","3.28","NTU","Total/Bulk","LG500","",
"53","2023","April    ","Spring","Erie","ER2311","E073A23","ER73","23.1000","41.977592","-81.756967","2023/04/15 12:54","GMT","12.0000","Middle Depth","surface water","INSITU_MEAS","routine field sample","23GE01S23","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","91.6","mg/l","Total/Bulk","LG500","","Cond","Conductivity","271.9","umho/cm","Total/Bulk","LG500","","pH","pH","8.06","none","Total/Bulk","LG500","","Temp","Temperature","4.20","C","Not applicable","NA","","Turb","Turbidity","3.66","NTU","Total/Bulk","LG500","",
"54","2023","April    ","Spring","Erie","ER2311","E073A23","ER73","23.1000","41.977592","-81.756967","2023/04/15 12:54","GMT","5.0000","Five Meter","surface water","INSITU_MEAS","routine field sample","23GE01S2A","Temp","Temperature","5.40","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"55","2023","April    ","Spring","Erie","ER2311","E073A23","ER73","23.1000","41.977592","-81.756967","2023/04/15 12:54","GMT","10.0000","Ten Meter","surface water","INSITU_MEAS","routine field sample","23GE01S2B","Temp","Temperature","4.25","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"56","2023","April    ","Spring","Erie","ER2311","E073A23","ER73","23.1000","41.977592","-81.756967","2023/04/15 12:54","GMT","23.1000","Bottom Minus","surface water","INSITU_MEAS","routine field sample","23GE01S31","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.7","mg/l","Total/Bulk","LG500","","Cond","Conductivity","271.3","umho/cm","Total/Bulk","LG500","","pH","pH","8.11","none","Total/Bulk","LG500","","Temp","Temperature","4.09","C","Not applicable","NA","","Turb","Turbidity","3.61","NTU","Total/Bulk","LG500","",
"57","2023","April    ","Spring","Erie","ER2311","E036A23","ER36","22.2000","41.935067","-81.478217","2023/04/15 19:55","GMT","2.1000","Surface","surface water","INSITU_MEAS","routine field sample","23GE01S41","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","90.6","mg/l","Total/Bulk","LG500","","Cond","Conductivity","264","umho/cm","Total/Bulk","LG500","","pH","pH","8.05","none","Total/Bulk","LG500","","Temp","Temperature","7.26","C","Not applicable","NA","","Turb","Turbidity","4.6","NTU","Total/Bulk","LG500","",
"58","2023","April    ","Spring","Erie","ER2311","E036A23","ER36","22.2000","41.935067","-81.478217","2023/04/15 19:55","GMT","11.7000","Middle Depth","surface water","INSITU_MEAS","routine field sample","23GE01S43","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","92.3","mg/l","Total/Bulk","LG500","","Cond","Conductivity","265.9","umho/cm","Total/Bulk","LG500","","pH","pH","8.07","none","Total/Bulk","LG500","","Temp","Temperature","4.34","C","Not applicable","NA","","Turb","Turbidity","5.22","NTU","Total/Bulk","LG500","",
"59","2023","April    ","Spring","Erie","ER2311","E036A23","ER36","22.2000","41.935067","-81.478217","2023/04/15 19:55","GMT","5.0000","Five Meter","surface water","INSITU_MEAS","routine field sample","23GE01S4A","Temp","Temperature","5.21","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
