Domain,Unique Identifier,Name,Description,Last Change Date
Sample Fraction(ResultSampleFractionText),1,Total,The total of all fractions of the analyte.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),14,Total Recoverable,The analyte concentration available for analysis in an unfiltered sample following solubilization.,10/15/2012 10:57:48 AM
Sample Fraction(ResultSampleFractionText),16,Total Residual,The amount of available analyte remaining after a given contact time. The sum of the combined available residual analyte and the free available residual analyte.,10/15/2012 10:57:48 AM
Sample Fraction(ResultSampleFractionText),25,Total Soluble,The total of all fractions of the analyte / The sum of all of the different forms of the analyte present which becomes dissolved within the sample.,2/27/2013 10:57:48 AM
Sample Fraction(ResultSampleFractionText),29,Unfiltered,Pertains to the constituents in a representative water-suspended-solids sample. (whole),12/2/2015 11:44:16 AM
Sample Fraction(ResultSampleFractionText),33,"Unfiltered, field",Performed in field. +/ Pertains to the constituents in a representative water-suspended-solids sample. (whole),12/2/2015 12:00:00 AM
Sample Fraction(ResultSampleFractionText),11,Vapor,That portion of the analyte which exists in a gaseous state and that under ordinary conditions is liquid or solid.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),8,Volatile,That portion of the analyte which evaporates readily at normal temperature and pressure.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),23,Weak Acid Diss,"Weak Acid Dissociable, analyte that is readily released from analyte containing compounds when the pH is lowered.",1/11/2012 4:23:28 PM
Sample Fraction(ResultSampleFractionText),155,non-linear function,non-linear function compensation is correction methods for signal distortions,11/3/2020 12:49:32 PM

