CharacteristicName,source_parameter
"Magnesium, dissolved",Magnesium_Total/Bulk
"Manganese, dissolved",Manganese_Total/Bulk
"Manganese, dissolved",Manganese_Filtrate
"Mercury, dissolved",Mercury
"Mercury, total",Mercury
"Methylmercury, dissolved",Methylmercury(1+)
Microcystin,Microcystin LA
Microcystin,Microcystin LF
Microcystin,Microcystin LR
Microcystin,Microcystin RR
Microcystin,Microcystin
Microcystin,Microcystins
"Moisture","Moisture content_Total/Bulk"
"Molybdenum","Molybdenum_Total/Bulk"
"Nitrogen, NH4",Ammonia-nitrogen as N
"Nitrogen, NH4",Ammonia-nitrogen
"Nitrogen, NH4",Ammonia and ammonium
"Nitrogen, NH4",Ammonia
"Nitrogen, NH4",Ammonia-Nitrogen_Filtrate
"Nitrogen, NH4","Ammonia-Nitrogen_Total/Bulk"
"Nitrogen, NH4",Ammonium-Nitrogen_Filtrate
"Nitrogen, NH4",Ammonium
"Nitrogen, nitrite (NO2)",Nitrite as N
"Nitrogen, nitrite (NO2)",Nitrite
"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite) as N
"Nitrogen, nitrite (NO2) + nitrate (NO3)",Inorganic nitrogen (nitrate and nitrite)
"Nitrogen, nitrite (NO2) + nitrate (NO3)",Nitrate + Nitrite
"Nitrogen, nitrite (NO2) + nitrate (NO3)",Nitrate
"Nitrogen, nitrite (NO2) + nitrate (NO3)",Nitrogen
"Nitrogen, nitrite (NO2) + nitrate (NO3)","Nitrogen, Total Oxidized_Filtrate"
"Nitrogen, nitrite (NO2) + nitrate (NO3)","Nitrogen, Total Oxidized_Total/Bulk"
NA,"Nitrogen, Total, Particulate_Residue"
NA,"Nitrogen, Total, Sediment_Total/Bulk"
"Oxygen, dissolved",Dissolved oxygen (DO)
"Oxygen, dissolved",Oxygen
"Oxygen, dissolved","Oxygen, Dissolved_Filtrate"
"Oxygen, dissolved","Oxygen, Dissolved_Total/Bulk"
"pH, equilibrated",pH
"pH, equilibrated",pH_Not applicable
"pH, equilibrated",pH_Total/Bulk
Salinity,Salinity
Secchi,"Depth, Secchi disk depth (choice list)"
Secchi,"Depth, Secchi disk depth"
Secchi,"Secchi Disc Transparency_NA"
Secchi,"Secchi Disc Transparency_Not applicable"
"Selenium, dissolved",Selenium
"Selenium, total",Selenium
"Selenium, total","Selenium_Total/Bulk"
"Silica, dissolved",Silica
"Silica, dissolved",Silicon
"Silica, dissolved","Silica, Dissolved as Si_Filtrate"
"Silica, dissolved","Silica, Dissolved as Si_Total/Bulk"
"Silica, dissolved","Silica, Total_Filtrate"
"Silica, dissolved","Silicon, Elemental_Filtrate"
"Sulfate, dissolved",Sulfate
"Sulfate, dissolved",Sulfur Sulfate
"Sulfate, dissolved",Sulfur
"Sodium, dissolved",Sodium_Filtrate
"Sodium, total",Sodium_Total/Bulk
"Solids, total suspended",Total dissolved solids
"Solids, total suspended","Suspended solids, total_Residue"
"Solids, total suspended",Total solids
"Solids, total suspended",Total suspended solids
"Nitrogen, total dissolved","Nitrogen, Total_Filtrate"
"Nitrogen, total dissolved","Nitrogen, Total_Total/Bulk"
"Nitrogen, total dissolved",Nitrogen
"Nitrogen, total dissolved","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)"
"Phosphorus, total dissolved",Phosphate-phosphorus
"Phosphorus, total dissolved",Phosphorus
"Phosphorus, total particulate","Phosphorus Base Extractable as P_Residue
"Phosphorus, total dissolved","Phosphorus, Elemental_Filtrate"
"Phosphorus, reactive dissolved","Phosphorus, Orthophosphorus as P_Filtrate"
"Phosphorus, total particulate","Phosphorus, Total as P, Particulate_Residue"
"Phosphorus, total particulate","Phosphorus, Total as P, Sediment_Total/Bulk"
"Phosphorus, total dissolved","Phosphorus, Total as P_Filtrate"
"Phosphorus, total dissolved","Phosphorus, Total as P_Total/Bulk"
"Nitrogen, total Kjeldahl",Kjeldahl nitrogen
"Nitrogen, total Kjeldahl",Total Kjeldahl nitrogen (Organic N & NH3)
"Nitrogen, total Kjeldahl",Total Kjeldahl nitrogen
"Nitrogen, total",Nitrogen
"Nitrogen, total","Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)"
"Phosphorus, total",Phosphate-phosphorus
"Phosphorus, total",Phosphorus
Temperature,Temperature_Not applicable
Temperature,Temperature_Total/Bulk
Turbidity,Turbidity Field
Turbidity,Turbidity
Turbidity,Turbidity_Not applicable
Turbidity,Turbidity_Total/Bulk
