UniqueIdentifier,Name,CASNumber,SRSID,SampleFractionRequired,AnalyticalMethodRequired,MethodSpeciationRequired,PickList,GroupName,DomainValueStatus,Description,ComparableName,LastChangeDate
21898,"(1,1,2,2,3,3,4,4,4-Nonafluorobutane-1-sulfonyl)acetonitrile",75988-02-2,1849600,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:46-04:00
64374,"(1,1,2,2,3,3,4,4,4-Nonafluorobutyl)phosphanium",,1991476,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
64297,"(1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8-Hexadecafluoro-1-octanesulfonic acid)",,1991477,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
16386,"(1,1,2,2,3,3,4,4-Octafluoro-4-iodobutyl)benzene",17667-12-8,1849690,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:28-04:00
17369,"(1,1,2,2-Tetrafluoro-2-iodoethoxy)benzene",89045-65-8,1973842,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
19217,"(1,1,2,2-Tetrafluoroethane-1,2-diyl)bis(phenylphosphane)",63878-93-3,1973493,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:38-04:00
17183,"(1,1,3,3,4,4,4-Heptafluorobut-1-en-2-yl)benzene",5300-25-4,1973338,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
21944,"(1,2,3,3,4,4,4-Heptafluorobut-1-en-1-yl)benzene",783372-47-4,1973673,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:46-04:00
16518,"(1,2-Dibromo-1,2,2-trifluoroethyl)benzene",40193-72-4,1973246,N,N,N,N,"Organics, Other",Accepted,,,2020-06-19T02:02:29-04:00
17295,"(1,2-Dichloro-1,2,2-trifluoroethoxy)benzene",89045-63-6,1973840,N,N,N,N,"Organics, Other",Accepted,,,2020-06-19T02:02:31-04:00
16935,"(1,4-Dibromo-3,3,4,4-tetrafluorobutyl)(trimethyl)silane",113688-43-0,1851692,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
17158,"(1,4-Dibromo-3-chloro-3,4,4-trifluorobut-1-en-1-yl)(trimethyl)silane",89608-28-6,1973860,N,N,N,N,"Organics, Other",Accepted,,,2020-06-19T02:02:31-04:00
17122,"(1,4-Dibromo-3-chloro-3,4,4-trifluorobutyl)(trimethyl)silane",89608-35-5,1973862,N,N,N,N,"Organics, Other",Accepted,,,2020-06-19T02:02:31-04:00
20952,(1-Chloro)tetrafluoro-1-iodoethane,754-23-4,1973631,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:44-04:00
16977,"(1-Chloro-1,2,2,2-tetrafluoroethyl)benzene",426-56-2,1973281,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
24725,"(1-Propanamine, 2-(trimethoxysilyl)-, reaction products with reduced methanol-peroxidized poly(tetrafluoroethylene)",207574-77-4,1842301,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-09-13T09:34:37-04:00
17493,"(1-butoxy-1-oxobutan-2-yl) 2,2,3,3,4,4,4-heptafluorobutanoate",55649-48-4,1973361,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:32-04:00
17574,"(10E)-12,12,13,13,14,14,15,15,16,16,17,17,17-Tridecafluoroheptadec-10-en-1-ol",135131-53-2,1842622,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:32-04:00
17484,"(10E)-12,12,13,13,14,14,15,15,16,16,17,17,18,18,19,19,19-Heptadecafluorononadec-10-en-1-ol",135131-50-9,1842621,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:32-04:00
62777,(10H-Perfluorodecyl)methanol phosphate ammonium salt (2:1),100738-12-3,1988515,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
16967,(11-(F-Hexyl)undecyl) dimorpholinophosphoramidate,134051-91-5,1842537,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
16405,(11-(F-Octyl)undecyl) dimorpholinophosphoramidate,134051-92-6,1842528,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:29-04:00
20795,"(17?)-3-[(Trimethylsilyl)oxy]estra-1,3,5(10)-trien-17-ol perfluorobutanoate",120623-45-2,1842307,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:43-04:00
64326,"(17beta)-Estra-1,3,5(10)-triene-3,17-diol, 7-[9-[(4,4,5,5,5-pentafluoropentyl)sulfinyl]nonyl]-",471243-86-4,1989322,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
26339,"(1E)-1,2,3,3,3-Pentafluoro-1-(trifluoromethoxy)prop-1-ene",1621181-80-3,1842466,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-12-14T12:00:00-05:00
22434,"(1E)-1,2,3,3,4,4,5,5,6,6,6-Undecafluoro-1-methoxyhex-1-ene",62949-64-8,1842439,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
22708,"(1E)-1,2,3,3,4,4,5,5,6,6,6-Undecafluorohex-1-ene",391199-64-7,1842469,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
22284,"(1E)-1,2,3,4,4,4-Hexafluoro-1-iodo-3-(trifluoromethyl)but-1-ene",883882-12-0,1842462,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:47-04:00
22782,"(1E)-1,3,4,4,4-Pentafluoro-3-(trifluoromethyl)but-1-ene",14149-41-8,1842471,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
21845,"(1E)-1-Ethoxy-4,4,5,5,6,6,6-heptafluorohex-1-en-3-one",170118-61-3,1842423,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:46-04:00
19924,"(1E)-2,2,3,3,3-Pentafluoro-N-(4-methoxyphenyl)propan-1-imine",189396-84-7,1851937,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:40-04:00
22606,"(1E)-2,2,3,3,4,4,4-Heptafluoro-N-(2-phenylethyl)butan-1-imine",29723-32-8,1842495,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
22616,"(1E)-2,2,3,3,4,4,4-Heptafluoro-N-phenylbutan-1-imine",62765-24-6,1842494,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
22628,"(1E)-3,3,4,4,5,5,5-Heptafluoro-1-iodopent-1-ene",157430-71-2,1842493,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
16595,"(1E)-3,3,4,4,5,5,6,6,7,7,8,8,8-Tridecafluoro-1-iodooct-1-ene",329698-26-2,1842511,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:29-04:00
22818,"(1E)-3,4,4,4-Tetrafluoro-1-iodo-3-(trifluoromethyl)but-1-ene",24716-84-5,1842476,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
64617,"(1E)-4,4,5,5,5-Pentafluoro-1-phenyl-1-[(propan-2-yl)amino]pent-1-en-3-one",484009-71-4,1989325,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
21572,"(1H,1H,2H,2H-perfluorooctyl)triacetoxysilane",1034681-41-8,1842370,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:45-04:00
21139,"(1H,1H,7H-perfluoroheptyl)-2-sulfohexadecanoate sodium salt",75032-94-9,1842331,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:44-04:00
22860,"(1H,1H-Perfluoro-12-methyltridecyl)oxirane",54009-78-8,1842481,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
22872,"(1H,1H-Perfluoro-14-methylpentadecyl)oxirane",54009-77-7,1842480,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
22794,"(1H,1H-Perfluoro-16-methylheptadecyl)oxirane",54009-79-9,1842478,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
20661,"(1R)-1-(4-Ethoxyphenyl)-2,2,3,3-tetrafluorocyclobutane-1-carboxylic acid",72370-89-9,1973604,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:43-04:00
16660,"(1R,2R)-N,N'-bis(Perfluorooctanoyl)-1,2-cyclohexanediamine",864149-62-2,1842515,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:29-04:00
18728,"(1R,2R,5S,6S)-3,3,4,4-Tetrafluoro-9-oxatricyclo[4.2.1.0~2,5~]non-7-ene",958885-20-6,1973952,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:37-04:00
64185,"(1R,2S)-1,2-Dichloro-1,2,3,3,4,4-hexafluorocyclobutane",3934-26-7,1989281,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
9147,"(1R,2S)-1,2-Dimethyl-3-methylidenecyclopropane",4866-55-1,,N,N,N,N,Not Assigned,Accepted,,,2020-01-23T08:25:27-05:00
22627,"(1R,2S)-1-Iodo-2-(pentafluoroethyl)cyclohexane",38787-67-6,1973237,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
3601,"(1R,2S,5R)-Menthol",89-78-1,12609,Y,N,N,N,"Organics, Other",Accepted,; Request Date: 01-JUL-11,,2011-07-01T04:34:15-04:00
20872,"(1R,4R)-3-(Heptafluorobutyryl)-camphor",51800-99-8,1842309,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:44-04:00
17339,"(1R,4R)-4-(Heptafluoropropyl)cyclohexane-1-carboxamide",88951-19-3,1842574,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
17381,"(1R,4R)-4-(Heptafluoropropyl)cyclohexane-1-carboxylic acid",88951-23-9,1842579,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
17354,"(1R,4R)-4-(Nonafluorobutyl)cyclohexane-1-carboxamide",88951-21-7,1842573,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
17393,"(1R,4R)-4-(Nonafluorobutyl)cyclohexane-1-carboxylic acid",88951-25-1,1842578,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
16507,"(1R-trans)-N,N'-1,2-Cyclohexanediylbis(perfluorobutanamide)",133964-60-0,1842502,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:29-04:00
22564,"(1S,2R)-1-(Heptafluoropropyl)-2-iodocyclohexane",7589-44-8,1842490,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
64144,"(1S,2S)-1,2-Dichloro-1,2,3,3,4,4-hexafluorocyclobutane",3832-15-3,1989275,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
9187,"(1S,3R)-Cyclopent-4-ene-1,3-diol",29783-26-4,,N,N,N,N,Not Assigned,Accepted,Minnesota IT Services at MPCA ,,2020-02-21T01:00:34-05:00
21404,"(1S,4S)-3-(Heptafluorobutyryl)camphor",115224-00-5,1842385,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:45-04:00
17471,"(1S,4S)-4-(Heptafluoropropy+A487l)cyclohexane-1-carboxylic acid",88951-22-8,1842581,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:32-04:00
17417,"(1S,4S)-4-(Heptafluoropropyl)cyclohexane-1-carboxamide",88951-18-2,1842576,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
17327,"(1S,4S)-4-(Nonafluorobutyl)cyclohexane-1-carboxamide",88951-20-6,1842575,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
17382,"(1S,4S)-4-(Nonafluorobutyl)cyclohexane-1-carboxylic acid",88951-24-0,1842580,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
26336,"(1Z)-1,2,3,3,3-Pentafluoro-1-(trifluoromethoxy)prop-1-ene",1620992-19-9,1842465,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-12-14T12:00:00-05:00
22720,"(1Z)-1,2,3,3,4,4,5,5,6,6,6-Undecafluorohex-1-ene",168332-72-7,1842468,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
22734,"(1Z)-1,2,3,3,4,4,5,5,6,6,7,7,8,8,8-Pentadecafluorooct-1-ene",1516885-18-9,1842467,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
22247,"(1Z)-1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Nonadecafluoro-1-iododec-1-ene",56184-40-8,1842464,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:47-04:00
22272,"(1Z)-1,2,3,4,4,4-Hexafluoro-1-iodo-3-(trifluoromethyl)but-1-ene",105774-97-8,1842463,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:47-04:00
16681,"(1Z)-1,2-Dibromo-3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluorooct-1-ene",59665-28-0,1842512,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
22696,"(1Z)-1,3,4,4,4-Pentafluoro-3-(trifluoromethyl)but-1-ene",14318-61-7,1842470,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
17364,"(1Z)-2,2,3,3,4,4,4-Heptafluoro-N'-(2,2,3,3,4,4,4-heptafluorobutanimidoyl)butanimidamide",648-13-5,1842572,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:31-04:00
22424,"(1Z)-2,2,3,3,4,4,4-Heptafluoro-N-(4-methoxy-2-methylphenyl)butanimidoyl chloride",923569-77-1,1842440,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
64294,"(1Z)-2,2,3,3,4,4,4-heptafluoro-N-(1,1,2,2,3,3,4,4,4-nonafluorobutyl)butanimidoyl fluoride",,1991478,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
22409,"(1Z)-N-[2-(Bromomethyl)-4-methoxyphenyl]-2,2,3,3,4,4,4-heptafluorobutanimidoyl chloride",923569-78-2,1842441,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
21631,"(1Z,4Z,9Z,12E)-2,10-Di-tert-butyl-4,12-bis(heptafluoropropyl)-1,5,9,13-tetraazacyclohexadeca-1,4,9,12-tetraene",925457-51-8,1842373,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:45-04:00
19465,"(1z,6z)-2,2,3,3,4,4,5,5-octafluorohexanediimidamide",678-57-9,1849909,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:39-04:00
20960,"(2,2,2-Tris((acryloyloxy)methyl)ethoxy)((perfluorohexyl)ethyl)dimethylsilane",94237-11-3,1842354,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:44-04:00
16831,"(2,2,3,3,4,4,4-Heptafluorobutyl)benzene",81664-99-5,1842558,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
64307,"(2,2,3,3,4,4,4-heptafluorobutyl)stannanylidyne",,1991479,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
22851,"(2,2,3,3,4,4,5,5,6,6,7,7,8,9,9,9-Hexadecafluoro-8-(trifluoromethyl)nonyl)oxirane",41925-33-1,1842483,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
21647,"(2,2,3,3,4,4,5,5,6,6-Decafluorocyclohexane-1,1-diyl)dimethanol",87981-51-9,1850077,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:45-04:00
17432,"(2,2,3,3,4,4,5,5-Octafluoropentyl)propanedinitrile",771561-37-6,1849751,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:32-04:00
22701,"(2,2-Dichloro-1,1,2-trifluoroethoxy)(difluoro)acetyl fluoride",83865-23-0,1973742,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
16610,"(2,2-Dichloro-1,1,2-trifluoroethyl)carbonimidoyl",87533-02-6,1973783,N,N,N,N,"Organics, Other",Accepted,,,2020-06-19T02:02:29-04:00
18474,"(2,3,3,5,5,6,6-Heptafluoro-1,4-dioxan-2-yl)(trimethyl)silane",61448-95-1,1973435,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:36-04:00
18461,"(2,3,3,5,5,6,6-Heptafluoro-1,4-dioxan-2-yl)methanol",61448-96-2,1973436,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:36-04:00
18505,"(2,5-Dimethoxy-4-methylphenyl)methyl heptafluorobutanoate",87461-70-9,1849337,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:36-04:00
20577,"(2,6-Dinitrophenyl)methyl tridecafluoroheptanoate",143662-85-5,1848967,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:43-04:00
22340,"(2-Bromo-1,1,2,2-tetrafluoroethoxy)(difluoro)acetic acid",81233-14-9,1973706,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
16599,"(2-Bromo-2-chloro-1,1,2-trifluoroethyl)carbonimidoyl",87533-03-7,1973784,N,N,N,N,"Organics, Other",Accepted,,,2020-06-19T02:02:29-04:00
