TRANSECT,Group,Species,DEPTH_CLASS,Epi_Density_m3,DeepTow_Density_m3,Hypo_Density_m3,Total_Density_m3,Latitude,Longitude
EAS5,ImmatureCyclopoid,Cyclops copepodites,D,34.53424578,5288.515427,5278.741584,5323.049673,44.4851667,-86.31265
EAS5,ImmatureCalanoid,Calanoid copepodites,D,174.7268388,3709.857207,3660.406215,3884.584046,44.4851667,-86.31265
EAS5,AdultCyclopoid,Diacyclops thomasi,D,2.329691184,1578.65822,1577.998873,1580.987911,44.4851667,-86.31265
EAS5,AdultCyclopoid,Diacyclops thomasi,D,2.329691184,1578.65822,1577.998873,1580.987911,44.4851667,-86.31265
EAS5,AdultCalanoid,Leptodiaptomus ashlandi,D,NA,1105.081534,NA,1105.081534,44.4851667,-86.31265
EAS5,AdultCalanoid,Leptodiaptomus ashlandi,D,NA,1105.081534,NA,1105.081534,44.4851667,-86.31265
EAS5,AdultCalanoid,Leptodiaptomus minutus,D,8.35948013,39.48204052,37.11614991,47.84152065,44.4851667,-86.31265
EAS5,AdultCalanoid,Leptodiaptomus minutus,D,8.35948013,39.48204052,37.11614991,47.84152065,44.4851667,-86.31265
EAS5,AdultCalanoid,Skistodiaptomus oregonensis,D,NA,39.48204052,NA,39.48204052,44.4851667,-86.31265
EAS5,AdultCalanoid,Leptodiaptomus sicilis,D,1.233365921,39.48204052,39.13297469,40.71540644,44.4851667,-86.31265
EAS5,Rotifera,Ascomorpha spp.,D,NA,39.48204052,NA,39.48204052,44.4851667,-86.31265
EAS5,Rotifera,Collotheca spp.,D,112.2362988,434.1465955,402.3816053,546.3828943,44.4851667,-86.31265
EAS5,Rotifera,Conochilus unicornis,D,2738.620507,1085.340514,310.2592382,3823.961021,44.4851667,-86.31265
EAS5,Rotifera,Gastropus spp.,D,134.7109667,730.1060492,691.9803039,864.8170159,44.4851667,-86.31265
EAS5,Rotifera,Kellicottia longispina,D,112.2362988,769.5880897,737.8230995,881.8243885,44.4851667,-86.31265
EAS5,Rotifera,Keratella spp.,D,493.894531,414.4055753,274.6241042,908.3001062,44.4851667,-86.31265
EAS5,Rotifera,Keratella quadrata,D,NA,19.74102026,NA,19.74102026,44.4851667,-86.31265
EAS5,Rotifera,Ploesoma truncatum,D,179.5232618,78.91213098,28.10366065,258.4353928,44.4851667,-86.31265
EAS5,Rotifera,Polyarthra spp.,D,2356.962275,710.416979,43.35218429,3067.379254,44.4851667,-86.31265
EAS5,Rotifera,Synchaeta spp.,D,336.7088964,118.3941715,23.09920082,455.1030679,44.4851667,-86.31265
EAS5,Nauplii,Copepod nauplii,D,785.6540916,4104.521762,3882.16683,4890.175854,44.4851667,-86.31265
EAS5,Mollusks,Dreissenid Veligers,D,1189.786992,236.788343,236.788343,1426.575335,44.4851667,-86.31265
EAS8,Cladoceran,Bythotrephes longimanus,S,0.635868653,1.625800532,1.441193504,2.261669185,44.4876,-86.3511667
EAS8,Cladoceran,Bosmina longirostris,S,10.27987655,NA,NA,10.27987655,44.4876,-86.3511667
EAS8,Cladoceran,Leptodora kindti,S,0.529890544,NA,NA,0.529890544,44.4876,-86.3511667
EAS8,ImmatureCyclopoid,Cyclops copepodites,S,8.584226809,2493.857586,2491.365392,2502.441813,44.4876,-86.3511667
EAS8,ImmatureCalanoid,Calanoid copepodites,S,84.35857457,3676.838225,3652.347026,3761.1968,44.4876,-86.3511667
EAS8,ImmatureCalanoid,Epischura copepodites,S,15.47280388,31.97407713,27.48197278,47.44688101,44.4876,-86.3511667
EAS8,AdultCyclopoid,Diacyclops thomasi,S,0.529890544,447.6370798,447.4832406,448.1669704,44.4876,-86.3511667
EAS8,AdultCyclopoid,Diacyclops thomasi,S,0.529890544,447.6370798,447.4832406,448.1669704,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus ashlandi,S,0.529890544,127.8963085,127.7424693,128.4261991,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus ashlandi,S,0.529890544,127.8963085,127.7424693,128.4261991,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus minutus,S,6.78259896,255.792617,253.8234754,262.575216,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus minutus,S,6.78259896,255.792617,253.8234754,262.575216,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus minutus,S,6.78259896,255.792617,253.8234754,262.575216,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus minutus,S,6.78259896,255.792617,253.8234754,262.575216,44.4876,-86.3511667
EAS8,AdultCalanoid,Epischura lacustris,S,1.165759196,31.97407713,31.63563091,33.13983633,44.4876,-86.3511667
EAS8,Rotifera,Collotheca spp.,S,132.6845922,959.1620991,920.6407658,1091.846691,44.4876,-86.3511667
EAS8,Rotifera,Conochilus unicornis,S,2445.762794,2589.779818,1879.719652,5035.542612,44.4876,-86.3511667
EAS8,Rotifera,Gastropus spp.,S,56.9102444,351.7148484,335.1925194,408.6250928,44.4876,-86.3511667
EAS8,Rotifera,Kellicottia longispina,S,132.6845922,799.2917134,760.7703802,931.9763056,44.4876,-86.3511667
EAS8,Rotifera,Keratella spp.,S,132.6845922,319.7407713,281.2194381,452.4253635,44.4876,-86.3511667
EAS8,Rotifera,Ploesoma truncatum,S,75.88032587,31.97407713,9.944305104,107.854403,44.4876,-86.3511667
EAS8,Rotifera,Polyarthra spp.,S,1459.848448,1278.90287,855.0759016,2738.751318,44.4876,-86.3511667
EAS8,Rotifera,Synchaeta spp.,S,379.1896731,703.369482,593.2821576,1082.559155,44.4876,-86.3511667
EAS8,Nauplii,Copepod nauplii,S,663.5289389,5723.058732,5530.421298,6386.587671,44.4876,-86.3511667
EAS8,Mollusks,Dreissenid Veligers,S,379.1896731,479.6111569,369.5238325,858.8008301,44.4876,-86.3511667
EAS8,Cladoceran,Bythotrephes longimanus,D,0.635868653,1.625800532,1.441193504,2.261669185,44.4876,-86.3511667
EAS8,Cladoceran,Daphnia galeata mendotae,D,NA,95.92223139,NA,95.92223139,44.4876,-86.3511667
EAS8,ImmatureCyclopoid,Cyclops copepodites,D,8.584226809,2493.857586,2491.365392,2502.441813,44.4876,-86.3511667
EAS8,ImmatureCalanoid,Calanoid copepodites,D,84.35857457,3676.838225,3652.347026,3761.1968,44.4876,-86.3511667
EAS8,ImmatureCalanoid,Epischura copepodites,D,15.47280388,31.97407713,27.48197278,47.44688101,44.4876,-86.3511667
EAS8,AdultCyclopoid,Diacyclops thomasi,D,0.529890544,447.6370798,447.4832406,448.1669704,44.4876,-86.3511667
EAS8,AdultCyclopoid,Diacyclops thomasi,D,0.529890544,447.6370798,447.4832406,448.1669704,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus ashlandi,D,0.529890544,127.8963085,127.7424693,128.4261991,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus ashlandi,D,0.529890544,127.8963085,127.7424693,128.4261991,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus minutus,D,6.78259896,255.792617,253.8234754,262.575216,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus minutus,D,6.78259896,255.792617,253.8234754,262.575216,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus minutus,D,6.78259896,255.792617,253.8234754,262.575216,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus minutus,D,6.78259896,255.792617,253.8234754,262.575216,44.4876,-86.3511667
EAS8,AdultCalanoid,Leptodiaptomus sicilis,D,NA,95.92223139,NA,95.92223139,44.4876,-86.3511667
EAS8,AdultCalanoid,Epischura lacustris,D,1.165759196,31.97407713,31.63563091,33.13983633,44.4876,-86.3511667
EAS8,AdultCalanoid,Limnocalanus macrurus,D,NA,31.97407713,NA,31.97407713,44.4876,-86.3511667
EAS8,Rotifera,Collotheca spp.,D,132.6845922,959.1620991,920.6407658,1091.846691,44.4876,-86.3511667
EAS8,Rotifera,Conochilus unicornis,D,2445.762794,2589.779818,1879.719652,5035.542612,44.4876,-86.3511667
EAS8,Rotifera,Gastropus spp.,D,56.9102444,351.7148484,335.1925194,408.6250928,44.4876,-86.3511667
EAS8,Rotifera,Kellicottia longispina,D,132.6845922,799.2917134,760.7703802,931.9763056,44.4876,-86.3511667
EAS8,Rotifera,Keratella spp.,D,132.6845922,319.7407713,281.2194381,452.4253635,44.4876,-86.3511667
EAS8,Rotifera,Keratella quadrata,D,NA,31.97407713,NA,31.97407713,44.4876,-86.3511667
EAS8,Rotifera,Ploesoma truncatum,D,75.88032587,31.97407713,9.944305104,107.854403,44.4876,-86.3511667
EAS8,Rotifera,Polyarthra spp.,D,1459.848448,1278.90287,855.0759016,2738.751318,44.4876,-86.3511667
EAS8,Rotifera,Synchaeta spp.,D,379.1896731,703.369482,593.2821576,1082.559155,44.4876,-86.3511667
EAS8,Nauplii,Copepod nauplii,D,663.5289389,5723.058732,5530.421298,6386.587671,44.4876,-86.3511667
EAS8,Mollusks,Dreissenid Veligers,D,379.1896731,479.6111569,369.5238325,858.8008301,44.4876,-86.3511667
EAS12,Cladoceran,Bythotrephes longimanus,S,0.305706083,0.503060643,0.419686257,0.808766726,44.49025,-86.4035333
EAS12,Cladoceran,Bosmina longirostris,S,1.987089539,NA,NA,1.987089539,44.49025,-86.4035333
EAS12,ImmatureCyclopoid,Cyclops copepodites,S,10.08830074,1023.527184,1020.775829,1033.615485,44.49025,-86.4035333
EAS12,ImmatureCalanoid,Calanoid copepodites,S,140.166239,1517.230899,1479.003743,1657.397138,44.49025,-86.4035333
EAS12,ImmatureCalanoid,Epischura copepodites,S,25.0678988,NA,NA,25.0678988,44.49025,-86.4035333
EAS12,AdultCyclopoid,Diacyclops thomasi,S,2.139942581,96.28580704,95.70218633,98.42574962,44.49025,-86.4035333
EAS12,AdultCyclopoid,Diacyclops thomasi,S,2.139942581,96.28580704,95.70218633,98.42574962,44.49025,-86.4035333
EAS12,AdultCyclopoid,Diacyclops thomasi,S,2.139942581,96.28580704,95.70218633,98.42574962,44.49025,-86.4035333
EAS12,AdultCyclopoid,Diacyclops thomasi,S,2.139942581,96.28580704,95.70218633,98.42574962,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus ashlandi,S,2.139942581,288.9580332,288.3744125,291.0979758,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus ashlandi,S,2.139942581,288.9580332,288.3744125,291.0979758,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus ashlandi,S,2.139942581,288.9580332,288.3744125,291.0979758,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus ashlandi,S,2.139942581,288.9580332,288.3744125,291.0979758,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus minutus,S,9.935447696,337.1512428,334.4415753,347.0866905,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus minutus,S,9.935447696,337.1512428,334.4415753,347.0866905,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus minutus,S,9.935447696,337.1512428,334.4415753,347.0866905,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus minutus,S,9.935447696,337.1512428,334.4415753,347.0866905,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus sicilis,S,1.987089539,84.31296374,83.77103023,86.30005328,44.49025,-86.4035333
EAS12,AdultCalanoid,Limnocalanus macrurus,S,11.00541899,24.09660479,21.09512689,35.10202378,44.49025,-86.4035333
EAS12,AdultCalanoid,Limnocalanus macrurus,S,11.00541899,24.09660479,21.09512689,35.10202378,44.49025,-86.4035333
EAS12,Rotifera,Collotheca spp.,S,122.8938453,975.3339743,941.817471,1098.22782,44.49025,-86.4035333
EAS12,Rotifera,Conochilus unicornis,S,1068.137054,1968.778132,1677.468026,3036.915186,44.49025,-86.4035333
EAS12,Rotifera,Gastropus spp.,S,85.1391441,72.23950831,49.01974174,157.3786524,44.49025,-86.4035333
EAS12,Rotifera,Kellicottia longispina,S,141.8476225,866.9747118,828.2889966,1008.822334,44.49025,-86.4035333
EAS12,Rotifera,Keratella spp.,S,103.9400682,144.4790166,116.1317253,248.4190848,44.49025,-86.4035333
EAS12,Rotifera,Ploesoma truncatum,S,302.4961691,18.05987708,18.05987708,320.5560461,44.49025,-86.4035333
EAS12,Rotifera,Polyarthra spp.,S,831.8262517,559.9064955,333.0447905,1391.732747,44.49025,-86.4035333
EAS12,Rotifera,Synchaeta spp.,S,425.3900144,162.5388937,46.52343522,587.9289081,44.49025,-86.4035333
EAS12,Nauplii,Copepod nauplii,S,1266.693155,1174.042928,828.5811588,2440.736083,44.49025,-86.4035333
EAS12,Mollusks,Dreissenid Veligers,S,66.18536696,794.7352035,776.6846489,860.9205705,44.49025,-86.4035333
EAS12,Cladoceran,Bythotrephes longimanus,D,0.305706083,0.503060643,0.419686257,0.808766726,44.49025,-86.4035333
EAS12,Cladoceran,Daphnia galeata mendotae,D,NA,72.23950831,NA,72.23950831,44.49025,-86.4035333
EAS12,ImmatureCyclopoid,Cyclops copepodites,D,10.08830074,1023.527184,1020.775829,1033.615485,44.49025,-86.4035333
EAS12,ImmatureCalanoid,Calanoid copepodites,D,140.166239,1517.230899,1479.003743,1657.397138,44.49025,-86.4035333
EAS12,AdultCyclopoid,Diacyclops thomasi,D,2.139942581,96.28580704,95.70218633,98.42574962,44.49025,-86.4035333
EAS12,AdultCyclopoid,Diacyclops thomasi,D,2.139942581,96.28580704,95.70218633,98.42574962,44.49025,-86.4035333
EAS12,AdultCyclopoid,Diacyclops thomasi,D,2.139942581,96.28580704,95.70218633,98.42574962,44.49025,-86.4035333
EAS12,AdultCyclopoid,Diacyclops thomasi,D,2.139942581,96.28580704,95.70218633,98.42574962,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus ashlandi,D,2.139942581,288.9580332,288.3744125,291.0979758,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus ashlandi,D,2.139942581,288.9580332,288.3744125,291.0979758,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus ashlandi,D,2.139942581,288.9580332,288.3744125,291.0979758,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus ashlandi,D,2.139942581,288.9580332,288.3744125,291.0979758,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus minutus,D,9.935447696,337.1512428,334.4415753,347.0866905,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus minutus,D,9.935447696,337.1512428,334.4415753,347.0866905,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus minutus,D,9.935447696,337.1512428,334.4415753,347.0866905,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus minutus,D,9.935447696,337.1512428,334.4415753,347.0866905,44.49025,-86.4035333
EAS12,AdultCalanoid,Leptodiaptomus sicilis,D,1.987089539,84.31296374,83.77103023,86.30005328,44.49025,-86.4035333
EAS12,AdultCalanoid,Epischura lacustris,D,NA,24.09660479,NA,24.09660479,44.49025,-86.4035333
EAS12,AdultCalanoid,Limnocalanus macrurus,D,11.00541899,24.09660479,21.09512689,35.10202378,44.49025,-86.4035333
EAS12,AdultCalanoid,Limnocalanus macrurus,D,11.00541899,24.09660479,21.09512689,35.10202378,44.49025,-86.4035333
EAS12,Rotifera,Collotheca spp.,D,122.8938453,975.3339743,941.817471,1098.22782,44.49025,-86.4035333
EAS12,Rotifera,Conochilus unicornis,D,1068.137054,1968.778132,1677.468026,3036.915186,44.49025,-86.4035333
EAS12,Rotifera,Gastropus spp.,D,85.1391441,72.23950831,49.01974174,157.3786524,44.49025,-86.4035333
EAS12,Rotifera,Kellicottia longispina,D,141.8476225,866.9747118,828.2889966,1008.822334,44.49025,-86.4035333
EAS12,Rotifera,Keratella spp.,D,103.9400682,144.4790166,116.1317253,248.4190848,44.49025,-86.4035333
EAS12,Rotifera,Lecane spp.,D,NA,18.05987708,NA,18.05987708,44.49025,-86.4035333
EAS12,Rotifera,Ploesoma truncatum,D,302.4961691,18.05987708,18.05987708,320.5560461,44.49025,-86.4035333
EAS12,Rotifera,Polyarthra spp.,D,831.8262517,559.9064955,333.0447905,1391.732747,44.49025,-86.4035333
EAS12,Rotifera,Synchaeta spp.,D,425.3900144,162.5388937,46.52343522,587.9289081,44.49025,-86.4035333
EAS12,Nauplii,Copepod nauplii,D,1266.693155,1174.042928,828.5811588,2440.736083,44.49025,-86.4035333
EAS12,Mollusks,Dreissenid Veligers,D,66.18536696,794.7352035,776.6846489,860.9205705,44.49025,-86.4035333
EAS17,Cladoceran,Bythotrephes longimanus,S,0.567739868,1.100541899,1.037459691,1.668281767,44.4945833,-86.4647667
EAS17,Cladoceran,Bosmina longirostris,S,3.40643921,NA,NA,3.40643921,44.4945833,-86.4647667
EAS17,Cladoceran,Daphnia galeata mendotae,S,1.703219605,66.64392608,66.45467946,68.34714569,44.4945833,-86.4647667
EAS17,ImmatureCyclopoid,Cyclops copepodites,S,62.45138552,2233.121795,2226.182752,2295.57318,44.4945833,-86.4647667
EAS17,ImmatureCalanoid,Calanoid copepodites,S,123.4834214,5699.339646,5685.619265,5822.823067,44.4945833,-86.4647667
EAS17,ImmatureCalanoid,Epischura copepodites,S,153.0058945,NA,NA,153.0058945,44.4945833,-86.4647667
EAS17,AdultCyclopoid,Diacyclops thomasi,S,5.109658815,466.629765,466.0620251,471.7394238,44.4945833,-86.4647667
EAS17,AdultCyclopoid,Diacyclops thomasi,S,5.109658815,466.629765,466.0620251,471.7394238,44.4945833,-86.4647667
EAS17,AdultCyclopoid,Diacyclops thomasi,S,5.109658815,466.629765,466.0620251,471.7394238,44.4945833,-86.4647667
EAS17,AdultCyclopoid,Diacyclops thomasi,S,5.109658815,466.629765,466.0620251,471.7394238,44.4945833,-86.4647667
EAS17,AdultCyclopoid,Tropocyclops prasinus mexicanus,S,1.703219605,NA,NA,1.703219605,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus ashlandi,S,6.529008486,999.7811737,999.0557283,1006.310182,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus ashlandi,S,6.529008486,999.7811737,999.0557283,1006.310182,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus minutus,S,19.87089539,599.9176172,597.7097399,619.7885126,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus minutus,S,19.87089539,599.9176172,597.7097399,619.7885126,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus minutus,S,19.87089539,599.9176172,597.7097399,619.7885126,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus minutus,S,19.87089539,599.9176172,597.7097399,619.7885126,44.4945833,-86.4647667
EAS17,AdultCalanoid,Skistodiaptomus oregonensis,S,1.703219605,NA,NA,1.703219605,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus sicilis,S,3.40643921,NA,NA,3.40643921,44.4945833,-86.4647667
EAS17,AdultCalanoid,Epischura lacustris,S,5.109658815,33.38310426,32.81536439,38.49276307,44.4945833,-86.4647667
EAS17,AdultCalanoid,Epischura lacustris,S,5.109658815,33.38310426,32.81536439,38.49276307,44.4945833,-86.4647667
EAS17,AdultCalanoid,Limnocalanus macrurus,S,3.40643921,66.64392608,66.26543284,70.05036529,44.4945833,-86.4647667
EAS17,AdultCalanoid,Limnocalanus macrurus,S,3.40643921,66.64392608,66.26543284,70.05036529,44.4945833,-86.4647667
EAS17,Rotifera,Collotheca spp.,S,892.7709429,2566.341425,2467.144654,3459.112368,44.4945833,-86.4647667
EAS17,Rotifera,Conochilus unicornis,S,1203.324651,3066.354294,2932.651555,4269.678945,44.4945833,-86.4647667
EAS17,Rotifera,Gastropus spp.,S,116.386673,66.64392608,53.71207353,183.0305991,44.4945833,-86.4647667
EAS17,Rotifera,Kellicottia longispina,S,38.89018098,1699.848104,1695.526972,1738.738285,44.4945833,-86.4647667
EAS17,Rotifera,Ploesoma truncatum,S,621.1074159,NA,NA,621.1074159,44.4945833,-86.4647667
EAS17,Rotifera,Polyarthra spp.,S,3998.308023,833.2324997,388.9760527,4831.540522,44.4945833,-86.4647667
EAS17,Rotifera,Synchaeta spp.,S,1902.212429,799.8493954,588.4924589,2702.061824,44.4945833,-86.4647667
EAS17,Nauplii,Copepod nauplii,S,2212.766137,3632.888807,3387.025903,5845.654944,44.4945833,-86.4647667
EAS17,Mollusks,Dreissenid Veligers,S,77.49649203,4532.765233,4524.154512,4610.261725,44.4945833,-86.4647667
EAS17,Cladoceran,Bythotrephes longimanus,D,0.567739868,1.100541899,1.037459691,1.668281767,44.4945833,-86.4647667
EAS17,Cladoceran,Daphnia galeata mendotae,D,1.703219605,66.64392608,66.45467946,68.34714569,44.4945833,-86.4647667
EAS17,ImmatureCyclopoid,Cyclops copepodites,D,62.45138552,2233.121795,2226.182752,2295.57318,44.4945833,-86.4647667
EAS17,ImmatureCalanoid,Calanoid copepodites,D,123.4834214,5699.339646,5685.619265,5822.823067,44.4945833,-86.4647667
EAS17,AdultCyclopoid,Diacyclops thomasi,D,5.109658815,466.629765,466.0620251,471.7394238,44.4945833,-86.4647667
EAS17,AdultCyclopoid,Diacyclops thomasi,D,5.109658815,466.629765,466.0620251,471.7394238,44.4945833,-86.4647667
EAS17,AdultCyclopoid,Diacyclops thomasi,D,5.109658815,466.629765,466.0620251,471.7394238,44.4945833,-86.4647667
EAS17,AdultCyclopoid,Diacyclops thomasi,D,5.109658815,466.629765,466.0620251,471.7394238,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus ashlandi,D,6.529008486,999.7811737,999.0557283,1006.310182,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus ashlandi,D,6.529008486,999.7811737,999.0557283,1006.310182,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus minutus,D,19.87089539,599.9176172,597.7097399,619.7885126,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus minutus,D,19.87089539,599.9176172,597.7097399,619.7885126,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus minutus,D,19.87089539,599.9176172,597.7097399,619.7885126,44.4945833,-86.4647667
EAS17,AdultCalanoid,Leptodiaptomus minutus,D,19.87089539,599.9176172,597.7097399,619.7885126,44.4945833,-86.4647667
EAS17,AdultCalanoid,Epischura lacustris,D,5.109658815,33.38310426,32.81536439,38.49276307,44.4945833,-86.4647667
EAS17,AdultCalanoid,Epischura lacustris,D,5.109658815,33.38310426,32.81536439,38.49276307,44.4945833,-86.4647667
EAS17,AdultCalanoid,Limnocalanus macrurus,D,3.40643921,66.64392608,66.26543284,70.05036529,44.4945833,-86.4647667
EAS17,AdultCalanoid,Limnocalanus macrurus,D,3.40643921,66.64392608,66.26543284,70.05036529,44.4945833,-86.4647667
EAS17,Rotifera,Collotheca spp.,D,892.7709429,2566.341425,2467.144654,3459.112368,44.4945833,-86.4647667
EAS17,Rotifera,Conochilus unicornis,D,1203.324651,3066.354294,2932.651555,4269.678945,44.4945833,-86.4647667
EAS17,Rotifera,Gastropus spp.,D,116.386673,66.64392608,53.71207353,183.0305991,44.4945833,-86.4647667
EAS17,Rotifera,Kellicottia longispina,D,38.89018098,1699.848104,1695.526972,1738.738285,44.4945833,-86.4647667
EAS17,Rotifera,Keratella spp.,D,NA,433.2466607,NA,433.2466607,44.4945833,-86.4647667
EAS17,Rotifera,Polyarthra spp.,D,3998.308023,833.2324997,388.9760527,4831.540522,44.4945833,-86.4647667
EAS17,Rotifera,Synchaeta spp.,D,1902.212429,799.8493954,588.4924589,2702.061824,44.4945833,-86.4647667
EAS17,Nauplii,Copepod nauplii,D,2212.766137,3632.888807,3387.025903,5845.654944,44.4945833,-86.4647667
EAS17,Mollusks,Dreissenid Veligers,D,77.49649203,4532.765233,4524.154512,4610.261725,44.4945833,-86.4647667
EAS23,Cladoceran,Bythotrephes longimanus,S,0.283869934,NA,NA,0.283869934,44.4983167,-86.53835
EAS23,Cladoceran,Daphnia galeata mendotae,S,0.567739868,NA,NA,0.567739868,44.4983167,-86.53835
EAS23,ImmatureCyclopoid,Cyclops copepodites,S,8.232228091,NA,NA,8.232228091,44.4983167,-86.53835
EAS23,ImmatureCalanoid,Calanoid copepodites,S,65.57395479,NA,NA,65.57395479,44.4983167,-86.53835
EAS23,ImmatureCalanoid,Epischura copepodites,S,16.74832612,NA,NA,16.74832612,44.4983167,-86.53835
EAS23,ImmatureCalanoid,Limnocalanus copepodites,S,0.567739868,NA,NA,0.567739868,44.4983167,-86.53835
EAS23,AdultCyclopoid,Tropocyclops prasinus mexicanus,S,1.135479737,NA,NA,1.135479737,44.4983167,-86.53835
EAS23,AdultCyclopoid,Tropocyclops prasinus mexicanus,S,1.135479737,NA,NA,1.135479737,44.4983167,-86.53835
